seriesuid,coordX,coordY,coordZ,probability
1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,-47.03,-195.2,-291.67,0.000189855
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,-87.97,57.73,-204.73,4.2657e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,-46.84365905,-15.62557673,-129.3882355,0.00182568
1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,69.55,-85.88,-150.06,6.02749e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,120.8585554,50.2155998,-158.3166669,0.000170218
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,37.92545356,165.7252251,-423.0812406,6.47215e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,75.45,134.48,-132.51,4.69251e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231,38.17210524,-192.1075893,-117.8328769,3.52162e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.269689294231892620436462818860,-63.11,-1.96,-156.78,4.57911e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,-45.84,135.25,-683.33,9.30083e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231,37.87,-103.63,-110.2,9.02709e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,97.97,153.87,-703.51,0.000111106
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,-56.16628855,-14.42775408,-159.5791784,7.59802e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,-49.37083139,-129.7008774,-206.0936685,0.000274653
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,50.286379,51.26465748,-73.45917585,1.06695e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,-58.21,-12.14,-154.36,9.00617e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,59.18,210.44,-518.2,0.0171792
1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,41.70739979,101.7810452,-185.0159093,3.27204e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,108.0834723,80.08505021,-277.569026,7.97146e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,-3.152826972,41.31864302,-90.48332062,8.85574e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,-29.12,105.695,-670.92,1.92176e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,-21.9,60.9,-125.75,0.501102
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-0.69,-5.71,-138.09,5.77139e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,-155.5410456,107.1941635,-358.544091,8.25609e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,-79.12116688,191.1993331,-534.9366669,5.90819e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,-44.36,-45.42,-232.77,4.01904e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,60.11018755,22.8361914,-223.1347517,2.38734e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112,-54.97092618,76.88645614,-91.69502784,4.15256e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,109.6,-21.6,-328.25,0.00101579
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-99.5,-51.52,-111.79,6.69418e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,-44.23,-163.59,-104.74,1.74716e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,-84.6,77.8,-141.35,3.53668e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,-46.87046063,-131.1566896,-268.1435156,4.62345e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,-10.31,-5.11,-127.21,0.000436755
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,51.96667127,8.590347058,-18.5489406,4.30333e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,97.07641341,8.817945393,-111.017691,2.56053e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.397062004302272014259317520874,-31.15396862,204.9694208,-709.0521055,0.00156697
1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,72.18252557,-88.79025827,-164.6338712,3.1543e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,-24.32,16.59,-131.43,2.27617e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,101.27,11.55,-215.35,1.68902e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845,39.42,45.64,-189.33,3.39918e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-62.055,190.31,-507.36,2.65953e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,-47.18918685,27.05905457,-206.5177812,6.02236e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,-101.26,182.62,-739.56,2.77513e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,-30.92,-183.38,-301.49,1.47718e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,-71.49242781,51.24593427,-211.5176726,2.07076e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-90.56,-66.06,-250.56,6.55769e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-49.62,-42.03,-109.77,1.25562e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,-48.22,-27.69,-276,2.85841e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733,81.02617707,17.23068826,-248.3117906,3.3392e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-111.77,-55.19,-219.67,0.000108234
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,-54.22279655,63.61313277,-118.2028798,1.16051e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,89,-56,81.5,1.03593e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,89.8024978,33.38504047,-183.4136388,0.000140082
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,35.16,-26.05,-42.18,9.60133e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196,-57.22496689,-18.33433942,-178.1348041,5.94794e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,75.8,82.21,-144.95,7.3072e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,-63.67,-51.15,-112.26,4.8205e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,63.07128997,48.88173257,-72.05065596,2.94338e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.317087518531899043292346860596,52.82,53.12,-129.63,3.9812e-10
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,-103.3787697,-1.851616887,-192.8091912,1.63649e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,27.33,-134.17,-203.4,2.62009e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,-79.19239634,104.0641105,-266.552654,9.3904e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,-72.92,31.33,-210.21,0.000105838
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,38.08597936,20.37847762,-117.967281,1.01613e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,-83.085,113.375,-615.04,0.000630161
1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,43.34625269,-144.8446893,-180.495,0.99701
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,-98.69,56.38,-72.96,0.00113095
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,-94.63,-95.98,-273.2625,1.08475e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,125.7553303,19.45721114,-285.0147248,1.21656e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,-20.94,185.4,-669.8,2.25807e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,58.58,146.6,-638.08,4.65293e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196,-38.0379244,14.69685016,-168.5648834,0.000110395
1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,-24.12,-100.45,-137.83,2.12011e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,-57.44,65.89,-227.51,2.06558e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,48.44,80.16,-106.58,4.11095e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,78.32,68.02,-217.78,4.98523e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-121.22,38.86,-174.46,9.68402e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,83.08,-62.55,-173.74,8.93479e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-44.47312876,-60.16484309,-120.2071431,0.00019326
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,-104.5,-82.5,-200.96,7.65287e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-70.07,38.16,-65.31,1.64235e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430,50.77946229,27.56674145,-20.93697938,8.08382e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,-34.43,52.12,-194.72,0.000108433
1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,-34.27,-19.42,-106.6,4.72834e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,-47.97,-73.07,-159.23,1.69462e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,41.05362274,244.9143035,-783.1441299,0.000166667
1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,22.33,-123.83,-305.99,0.00522666
1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,74.79,1.53,-126.73,1.92181e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,-84.62399157,-67.29560885,-308.4808644,1.94107e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,-73.94,185.22,-631.95,1.47285e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,45.17,-131.1,-86.14,9.22578e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,-34.45510679,-61.59559862,-85.90594488,0.000290463
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,-36.9,111.6,-217.36,1.54237e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,103.007069,79.68121349,-221.458746,7.96718e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,-127.4,49.6,37.8,3.67449e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,-6.9,81.6,-129.36,0.538519
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,-48.40073036,148.4205273,-613.3946434,0.00029474
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,93.95,68.75,-221.87,0.000171114
1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,-53.25,-135.01,1063.78,3.9601e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,-30.78399396,195.8105767,-313.1749148,0.655883
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,-46.07697891,150.8374424,1734.747541,1.13223e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,36.14,45.11,-238.67,5.00352e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,112.87,-25.94,-152.53,8.50745e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,77.39579664,114.5845658,1653.830817,3.25697e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,43.43241646,197.1645975,-237.4187279,1.80398e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,24.37,1.08,-216.9,1.71056e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-59.5427455,145.478176,-508,2.0324e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,62.34,-9.83,-67.07,1.52734e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,47.02,38.67,-148.59,4.14928e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,112.8408887,59.86596828,-243.8229632,0.00022377
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,46.70861833,60.07026576,-97.51474247,2.03237e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,31.12857868,59.17116662,-233.8434675,0.000519813
1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,-93.64104059,39.20544071,160.4436936,7.16032e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,95.61,196.41,-588.08,1.29362e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,-35.10085556,60.26489058,-149.8226952,6.63028e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,58.015,-115.805,-151.13,1.54748e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.210837812047373739447725050963,133.2125963,-105.7825724,-169.445723,0.000202401
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,93.47,56.05,-143.53,7.60731e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,6.49,54.42,-70.99,1.22387e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,-9.38,208.71,-507.13,1.64554e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,-125.229374,-4.908020774,-262.556075,0.00238848
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,-51.6,140.76,-455.87,0.00103439
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,73.73,162.59,-702.94,5.16666e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,53.08856502,-22.34680495,-144.8012213,1.92114e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,-21.9113109,57.99638973,-125.0028304,2.25799e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,70.3468715,-38.94177822,-169.2868048,1.51983e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,115.28,22.06,-273.04,0.000195487
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-46.5,55.17,-433.13,1.88719e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,108.84,-163.32,-183.29,1.67456e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,98.17266645,65.54806644,-43.88266688,1.36554e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,-31.25,173.02,-501.26,2.05663e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,27.07,-169.1,-243.39,1.88737e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,42.09,-152.24,-206.67,1.82824e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830,-25.29,59.5,-189.55,1.1138e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-20.37688992,15.94315698,-118.9407694,2.19007e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-38.50590891,55.61891717,-209.3556524,1.11323e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,-99.2287485,44.8790625,-196.815,2.72605e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,-47.40370209,19.52347214,9.657853304,1.84228e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,-87.7,29.1,-213.38,2.70387e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,62.14,-115.97,1073.6,3.66622e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,86.24,90.93,-347.95,4.07102e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-54.35,158.83,-791.36,6.77463e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,26.37493699,210.8078137,-528.6534886,3.38514e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,45.42894039,126.206918,1752.683446,2.96034e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,85.19,-177.29,-231.69,1.14612e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.238522526736091851696274044574,-31.55,-135.94,-219.68,1.32865e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,40.895,71.71,-44.545,6.44031e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-46.64,177.06,-798.37,0.000276002
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,-107.11,39.48,-71.89,4.05167e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733,-44.81,30.2,-159.07,0.0014173
1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,79.09820945,64.01877822,-218.4079842,0.013421
1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,112.3215624,148.7206249,-563.6153126,1.39843e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112,-68.05957148,35.1977998,-99.86757005,0.00325381
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,35.57157008,157.2588646,1713.886486,1.55263e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,-30.75,-14.45,-69,2.36567e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,-175.84375,21.6125,-258,0.999595
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,47.86,112.54,-168.38,5.44009e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,-57.4,235.4,-536.9,0.00143874
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,-4.53,-117.8,-125.63,9.3273e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,34.6,84.1,-231.15,0.00373036
1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,2.106777565,42.08829979,-127.212778,4.43501e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,43.36174485,-0.906739542,164.3921532,3.12677e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,-79.77,77.4,-84.92,2.22918e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,-46.97185514,24.06965036,-138.1555882,1.91712e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,-100.86,-151.32,-142.62,0.003711
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-37.20369966,-28.91901229,-135.8797178,1.30209e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,-25.48979167,22.06973959,-191.2743726,2.05219e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,9.77,-123.23,-262.7,1.17856e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,98.83770097,190.4019395,-680.251205,6.65411e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-71.37,-70.99,-193.49,0.00013107
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,-74.27,68.8,-183.05,1.27401e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,-51.398536,36.913912,-147.25,0.505455
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,-71.62,-43.92,-160.65,1.85028e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,65.5,-12.7,-123.05,8.1938e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,102.74,-121.29,-305.49,1.48259e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,59.13,77.33,-143.14,9.64555e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,57.4,201.1,-493.2,1.74007e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,108.28,-7.37,-81.45,2.61459e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,110.39,-40.25,-203.38,2.47619e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-58.26743355,127.0863331,-367.7541669,7.74589e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,83.4678475,-173.7976644,-249.6503809,1.47497e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,75.8,-55.29,-256.45,0.000478504
1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,42.14,-225.2,-214.17,1.99463e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,39.8,22.5,-241.36,2.93787e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,-50.88068028,-38.82551418,-92.16978563,2.10423e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-103.5027816,5.927713504,-181.9345904,8.2427e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112,23.2,95.135,-91.405,1.39289e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,-97.51,-12.77,-148.18,3.03486e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-41.81,260.27,-802.7,0.000524209
1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,-63.15850022,102.3570498,-232.0725002,3.19853e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,65.90176662,64.80486547,-212.6026803,0.000140983
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-72.89193917,160.6633105,-405.8516951,5.70598e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,77.88,0.62,-120.43,4.26594e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,51.52,269.78,-700.02,4.81012e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304,-28.6672066,64.58748064,-142.457447,5.7031e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,-32.62,163.32,-598.49,0.000665751
1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,101.3,-36.5,-198.6,6.01874e-10
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-35.03,-12.28,-80.8,2.05401e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,32.11466229,19.13491514,-123.3896236,1.06583e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,-39.00589951,35.95685573,-106.9944058,0.0091612
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,-57.5,234.41,-549.2,9.30613e-10
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,94.028325,39.336092,-191.5,4.41754e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,84.58783376,68.4410715,-100.4915096,0.000305752
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,-27.11638472,-7.0089155,-74.26653856,3.87491e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495,70.24,58.07,1556.65,3.76852e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-53.15,2.45,-166.67,6.9234e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,-134.57,21.67,-160.64,2.831e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,-28.9,47.75,-179.8,3.32233e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-37.1,225.61,-789.1,0.0473271
1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,106.4,10.9,-177.2,0.000767646
1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,-103.71,-174.32,-210.78,6.04506e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-56.78,73.29,-109.09,3.48195e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,-99.58,-98.28,-313.8,0.00687641
1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827,-47.1,19.69,-143.81,7.9272e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,49.68,-21.05,-202.14,6.47634e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,89.38878247,210.0309998,-461.9523624,2.55658e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,-109.61,-40.87,-234.41,3.74437e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,82.58272592,-79.12977735,-261.3846407,4.35522e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,93.16733433,224.7841164,-288.8244397,4.11695e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-11.45,60.57,-192.83,5.99218e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733,43.42,63.12,-126.62,4.61862e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,-31.12,124.74,-721.95,7.93541e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,43.33,230.41,-595.87,0.000187716
1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,75.86848401,-48.47865762,-269.2859563,1.00213e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,-34.21,47.63,-62.51,3.13348e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,86.0379047,64.15590653,-153.6618534,5.27335e-08
